DATE,open,high,low,close,Volume
2004/3/26,21.24,21.25,20.27,20.32,216
2004/3/29,19.9,19.99,19.75,19.8,52
2004/3/30,19.86,20.04,19.61,19.62,93
2004/3/31,19.67,19.81,19.67,19.75,562
2004/4/1,19.87,19.99,19.62,19.62,84
2004/4/2,19.47,19.47,18.84,18.89,89
2004/4/5,18.73,18.8,18.53,18.53,84
2004/4/6,18.57,18.89,18.57,18.79,304
2004/4/7,18.97,19.25,18.89,19.09,226
2004/4/8,18.95,19.15,18.95,19.05,98
2004/4/12,18.78,18.78,18.67,18.67,5
2004/4/13,19,19.31,18.89,19.3,25
2004/4/14,19.38,19.5,19.38,19.46,308
2004/4/15,19.33,19.44,19.26,19.35,142
2004/4/16,19.18,19.19,19,19,61
2004/4/19,19.1,19.14,18.85,18.87,11
2004/4/20,18.87,19.15,18.65,19.15,125
2004/4/21,19.09,19.1,18.64,18.68,11
2004/4/22,18.55,18.55,17.14,17.35,95
2004/4/23,17.23,17.5,17.23,17.34,601
2004/4/26,17.3,17.39,17.13,17.13,246
2004/4/27,17.12,17.12,16.5,16.8,87
2004/4/28,17.05,17.51,17,17.37,335
2004/4/29,17.23,17.91,17.23,17.77,274
2004/4/30,17.54,18.28,17.54,18.22,131
2004/5/3,18,18,17.69,17.69,42
2004/5/4,17.6,17.68,16.85,17.31,36
2004/5/5,17.04,17.05,16.6,16.62,237
2004/5/6,16.85,17.65,16.85,17.48,41
2004/5/7,17.54,18.31,17.12,18.31,136
2004/5/10,18.79,19.58,18.6,19.35,219
2004/5/11,20.2,20.25,19.87,19.97,96
2004/5/12,19.8,20.79,19.57,19.61,175
2004/5/13,19.77,19.77,19.4,19.58,122
2004/5/14,19.33,19.82,19.32,19.67,37
2004/5/17,19.87,20.29,19.82,20.21,119
2004/5/18,19.96,20.09,19.96,20.07,42
2004/5/19,19.6,19.64,18.74,19.17,399
2004/5/20,19.06,19.34,18.99,19.34,84
2004/5/21,19.32,19.33,19.1,19.17,84
2004/5/24,18.61,19,18.6,18.77,817
2004/5/25,18.9,18.9,17.44,17.5,398
2004/5/26,17.6,17.75,17.53,17.61,246
2004/5/27,17.46,17.6,17.29,17.35,324
2004/5/28,17.55,17.65,17.55,17.58,42
2004/6/1,17.6,17.62,17.55,17.6,64
2004/6/2,17.64,17.65,17.6,17.65,110
